Id	DR	L	WP	W	SL	SW	P
HMAC601_09	2.94	10	6.25	8.26	NaN	NaN	1
HMAC601_10	2.95	9.27	4.99	8.34	2.5	2.57	1
HMAC602_01	4.1	10.81	6.49	9.71	NaN	NaN	1
HMAC602_02	3.83	11.53	6.04	8.97	2.44	2.73	1
HMAC602_03	4.02	11.48	6.85	10.32	3.33	2.83	1
HMAC602_04	3.83	10.86	4.69	8.61	2.47	2.9	1
HMAC602_05	3.83	11.73	6.22	9.3	2.3	2.61	1
HMAC602_06	3.3	10.14	5.12	8.67	3.15	2.5	1
HMAC602_07	3.66	9.91	4.44	8.54	2.07	2.72	1
HMAC602_08	3.2	9.46	6.47	8.75	2.17	2.15	1
HMAC602_09	3.44	10.15	4.69	8.66	2.35	2.86	1
HMAC602_10	3.27	9.6	4.95	7.73	2.66	3.51	1
HMAC603_01	3.39	10.54	5.73	8.99	NaN	NaN	1
HMAC603_02	3.62	10.04	6.11	9.15	3.44	3.04	1
HMAC603_03	3.33	10.85	5.6	9.37	3.29	2.75	1
HMAC603_04	3.3	11.1	7.15	9.46	3.07	3.3	1
HMAC603_05	3.56	11.38	7.19	9.57	NaN	NaN	1
HMAC603_06	3.61	11.11	6.12	9.62	3.33	3.13	1
HMAC603_07	3.18	9.01	5.84	8.18	3.48	3	1
HMAC603_08	3.48	9.81	5.45	8.87	3.42	3.64	1
HMAC603_09	2.59	9.85	4.75	8.79	2.63	2.94	2
HMAC603_10	2.89	10.02	4.72	10.28	3.1	2.73	1
HMAC604_01	3.37	13.08	6.6	9.5	4.05	3.91	1
HMAC604_02	3.41	13.26	6.51	10.2	2.2	3.66	1
HMAC604_03	3.05	9.88	4.75	8.19	3.23	4.03	2
HMAC604_04	2.77	11.36	6.05	8.74	4.18	3.35	1
HMAC604_05	4.69	14.24	6.55	11.39	4.25	4.2	2
HMAC604_06	3.54	12.3	6.8	10.12	5.24	4.21	1
HMAC604_07	3.34	13.81	7.17	9.83	3.7	3.93	2
HMAC604_08	3.43	11.68	6.43	10.21	NaN	NaN	2
HMAC604_09	3.58	12.54	5.26	9.57	NaN	NaN	2
