"ID"	"Population"	"Taxon"	"DR"	"L"	"WP"	"W"	"SL"	"SW"	"P"
"R501"	"5"	"MAC"	2.7325	10.715	5.3525	7.8525	2.3025	2.615	1
"R502"	"5"	"R"	3.24	12.8	6.35333333333333	9.28333333333333	3.56666666666667	3.61	1
"R504"	"5"	"R"	2.86571428571429	10.6757142857143	5.25142857142857	8.45857142857143	2.74285714285714	2.93714285714286	1.14285714285714
"R506"	"5"	"R"	3.33	13.6	5.9	10.48	3.8	3.94	1
"R508"	"5"	"MAC"	3.08	11.2	5.85	8.58	4.34	4.46	1
"R510"	"5"	"R"	3.375	12.755	7.525	10.12	2.85	4.11	1
"R602"	"6"	"R"	3.28375	10.3525	5.33875	7.2875	3.3825	3.79875	1
"R603"	"6"	"R"	3.633	12.766	6.395	9.111	2.502	3.073	1
"R604"	"6"	"R"	2.81	12.86	6.095	9.03833333333333	3.28833333333333	3.71333333333333	1.33333333333333
"R605"	"6"	"R"	2.402	11.961	5.405	8.689	3.089	3.817	1
"R606"	"6"	"MAC"	3.83	11.31	4.03	8.81	4.36	3.36	1
"R607"	"6"	"MAC"	3.1225	10.4025	5.085	8.625	2.7775	3.31	1.25
"R608"	"6"	"MAC"	3.32333333333333	9.845	5.40333333333333	7.96666666666667	2.37833333333333	2.74333333333333	1
"R609"	"6"	"MAC"	3.643	12.677	6.457	9.746	3.767	3.607	1.3
"R610"	"6"	"MAC"	3.84285714285714	12.3314285714286	6.35857142857143	9.63857142857143	2.57714285714286	2.74428571428571	1.57142857142857
"R701"	"7"	"MAC"	3.58444444444444	13.8844444444444	6.61555555555556	11.1911111111111	2.22555555555556	2.25888888888889	1.22222222222222
"R702"	"7"	"MAC"	3.26857142857143	12.8385714285714	6.58285714285714	10.94	3.03714285714286	3.14	1
"R703"	"7"	"MAC"	3.849	11.472	5.67	10.787	2.062	2.189	1.1
"R704"	"7"	"MAC"	3.33	12.1028571428571	6.08857142857143	10.2042857142857	2.68285714285714	3.06285714285714	1
"R705"	"7"	"R"	2.79333333333333	9.68666666666667	4.65666666666667	9.31666666666667	2.79	2.48666666666667	1
"R706"	"7"	"R"	3.21571428571429	12.93	6.60428571428571	11.3414285714286	3.41857142857143	3.03428571428571	1
"R709"	"7"	"R"	2.865	10.24625	5.0725	10.0425	2.855	2.58625	1
"R710"	"7"	"R"	3	10.95	5.13	10.56	2.94	2.06	1
"R803"	"8"	"SUB"	3.22	11.3	6.32	9.38166666666667	2.71166666666667	3.17666666666667	1.33333333333333
"R901"	"9"	"SUB"	3.4025	12.15	5.63375	9.38125	2.3025	2.515	1.25
"R902"	"9"	"SUB"	2.73111111111111	10.6277777777778	5.04222222222222	9.15888888888889	2.43222222222222	3.10444444444444	1
"R903"	"9"	"SUB"	2.8625	12.0725	5.1975	9.1975	2.385	2.925	1
"R904"	"9"	"SUB"	1.795	7.69	3.13	5.775	4.835	6.64	1
"R906"	"9"	"MAC"	2.98714285714286	12.4114285714286	6.88285714285714	9.95714285714286	2.96285714285714	3.04428571428571	1.28571428571429
"R907"	"9"	"SUB"	4.12571428571429	10.7842857142857	4.54571428571429	9.17285714285714	2.39285714285714	2.73142857142857	1
"R908"	"9"	"SUB"	4.0075	12.0925	5.515	10.315	2.68625	2.515	1
"R911"	"9"	"R"	3.3475	12.0075	5.8125	8.7825	3.8125	2.8575	1
"R912"	"9"	"SUB"	3.465	12.135	4.99666666666667	10.4883333333333	3.64833333333333	3.11666666666667	1.16666666666667
"R913"	"9"	"R"	3.14857142857143	11.4071428571429	5.39857142857143	11.2057142857143	3.59142857142857	2.74428571428571	1
